timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:33:31.087, 0, 100, 9043, 15360, 76, 66.91, 70.00
2026/09/17 06:33:31.093, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:31.304, 0, 52, 9043, 15360, 76, 64.75, 70.00
2026/09/17 06:33:31.311, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:31.519, 0, 100, 9043, 15360, 76, 64.69, 70.00
2026/09/17 06:33:31.527, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:31.734, 0, 100, 9043, 15360, 76, 66.69, 70.00
2026/09/17 06:33:31.741, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:31.948, 0, 100, 9043, 15360, 76, 65.87, 70.00
2026/09/17 06:33:31.954, 1, 0, 3, 15360, 44, 9.56, 70.00
2026/09/17 06:33:32.162, 0, 100, 9043, 15360, 76, 65.26, 70.00
2026/09/17 06:33:32.168, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:32.376, 0, 83, 9043, 15360, 76, 66.75, 70.00
2026/09/17 06:33:32.383, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:32.590, 0, 99, 9043, 15360, 76, 65.38, 70.00
2026/09/17 06:33:32.600, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 06:33:32.807, 0, 100, 9043, 15360, 76, 65.48, 70.00
2026/09/17 06:33:32.813, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:33.021, 0, 100, 9043, 15360, 76, 66.22, 70.00
2026/09/17 06:33:33.027, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:33.234, 0, 100, 9043, 15360, 76, 68.24, 70.00
2026/09/17 06:33:33.247, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:33.455, 0, 91, 9043, 15360, 76, 66.75, 70.00
2026/09/17 06:33:33.461, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:33.668, 0, 100, 9043, 15360, 76, 66.56, 70.00
2026/09/17 06:33:33.675, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:33.882, 0, 100, 9043, 15360, 76, 66.22, 70.00
2026/09/17 06:33:33.889, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:34.096, 0, 100, 9043, 15360, 76, 67.98, 70.00
2026/09/17 06:33:34.102, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:34.310, 0, 99, 9043, 15360, 76, 66.61, 70.00
2026/09/17 06:33:34.316, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:34.523, 0, 99, 9043, 15360, 76, 66.61, 70.00
2026/09/17 06:33:34.529, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:34.737, 0, 100, 9043, 15360, 76, 66.32, 70.00
2026/09/17 06:33:34.743, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:34.950, 0, 100, 9043, 15360, 76, 65.63, 70.00
2026/09/17 06:33:34.958, 1, 0, 3, 15360, 43, 9.56, 70.00
