timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/18 07:17:21.707, 0, 0, 6025, 15360, 49, 28.26, 70.00
2026/09/18 07:17:21.714, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:21.926, 0, 0, 6025, 15360, 49, 28.16, 70.00
2026/09/18 07:17:21.932, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:22.139, 0, 0, 6025, 15360, 49, 28.26, 70.00
2026/09/18 07:17:22.145, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:22.353, 0, 0, 6025, 15360, 49, 28.26, 70.00
2026/09/18 07:17:22.358, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:22.565, 0, 0, 6025, 15360, 49, 28.26, 70.00
2026/09/18 07:17:22.570, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:22.778, 0, 0, 6025, 15360, 49, 36.51, 70.00
2026/09/18 07:17:22.784, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:22.991, 0, 74, 6025, 15360, 50, 47.76, 70.00
2026/09/18 07:17:22.998, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:23.205, 0, 100, 6025, 15360, 53, 69.51, 70.00
2026/09/18 07:17:23.239, 1, 0, 3, 15360, 45, 13.82, 70.00
2026/09/18 07:17:23.447, 0, 100, 6025, 15360, 53, 73.67, 70.00
2026/09/18 07:17:23.451, 1, 0, 3, 15360, 45, 13.82, 70.00
2026/09/18 07:17:23.659, 0, 100, 6025, 15360, 54, 66.73, 70.00
2026/09/18 07:17:23.669, 1, 0, 3, 15360, 45, 13.82, 70.00
2026/09/18 07:17:23.876, 0, 100, 6025, 15360, 54, 64.34, 70.00
2026/09/18 07:17:23.880, 1, 0, 3, 15360, 45, 13.82, 70.00
2026/09/18 07:17:24.087, 0, 100, 6025, 15360, 54, 66.01, 70.00
2026/09/18 07:17:24.092, 1, 0, 3, 15360, 45, 13.83, 70.00
2026/09/18 07:17:24.299, 0, 100, 6025, 15360, 54, 67.18, 70.00
2026/09/18 07:17:24.303, 1, 0, 3, 15360, 45, 13.82, 70.00
