timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 07:42:00.917, 0, 0, 10761, 15360, 71, 32.85, 70.00
2026/09/17 07:42:00.925, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:42:01.136, 0, 0, 10761, 15360, 71, 32.85, 70.00
2026/09/17 07:42:01.141, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 07:42:01.348, 0, 38, 10761, 15360, 71, 41.87, 70.00
2026/09/17 07:42:01.354, 1, 0, 3, 15360, 44, 10.85, 70.00
2026/09/17 07:42:01.560, 0, 100, 10761, 15360, 72, 66.20, 70.00
2026/09/17 07:42:01.565, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 07:42:01.772, 0, 100, 10761, 15360, 72, 64.79, 70.00
2026/09/17 07:42:01.776, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 07:42:01.983, 0, 100, 10761, 15360, 73, 69.36, 70.00
2026/09/17 07:42:01.989, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 07:42:02.196, 0, 100, 10761, 15360, 73, 66.71, 70.00
2026/09/17 07:42:02.200, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:42:02.407, 0, 100, 10761, 15360, 73, 67.84, 70.00
2026/09/17 07:42:02.416, 1, 0, 3, 15360, 43, 10.75, 70.00
2026/09/17 07:42:02.623, 0, 100, 10761, 15360, 73, 70.19, 70.00
2026/09/17 07:42:02.628, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 07:42:02.835, 0, 100, 10761, 15360, 74, 64.00, 70.00
2026/09/17 07:42:02.839, 1, 0, 3, 15360, 43, 10.15, 70.00
2026/09/17 07:42:03.046, 0, 100, 10761, 15360, 73, 69.96, 70.00
2026/09/17 07:42:03.051, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:42:03.258, 0, 100, 10761, 15360, 74, 68.67, 70.00
2026/09/17 07:42:03.264, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 07:42:03.471, 0, 100, 10761, 15360, 74, 68.71, 70.00
2026/09/17 07:42:03.475, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:42:03.682, 0, 100, 10761, 15360, 74, 68.47, 70.00
2026/09/17 07:42:03.691, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:42:03.898, 0, 100, 10761, 15360, 74, 70.14, 70.00
2026/09/17 07:42:03.902, 1, 0, 3, 15360, 43, 9.95, 70.00
2026/09/17 07:42:04.109, 0, 100, 10761, 15360, 74, 62.24, 70.00
2026/09/17 07:42:04.115, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:42:04.322, 0, 100, 10761, 15360, 74, 64.00, 70.00
2026/09/17 07:42:04.327, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:42:04.534, 0, 100, 10761, 15360, 75, 62.18, 70.00
2026/09/17 07:42:04.541, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:42:04.748, 0, 100, 10761, 15360, 75, 66.12, 70.00
2026/09/17 07:42:04.752, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:42:04.960, 0, 100, 10761, 15360, 75, 68.74, 70.00
2026/09/17 07:42:04.976, 1, 0, 3, 15360, 43, 10.15, 70.00
2026/09/17 07:42:05.183, 0, 100, 10761, 15360, 75, 66.22, 70.00
2026/09/17 07:42:05.188, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 07:42:05.395, 0, 100, 10761, 15360, 75, 71.22, 70.00
2026/09/17 07:42:05.399, 1, 0, 3, 15360, 43, 10.75, 70.00
2026/09/17 07:42:05.606, 0, 100, 10761, 15360, 75, 67.00, 70.00
2026/09/17 07:42:05.616, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 07:42:05.823, 0, 100, 10761, 15360, 75, 63.65, 70.00
2026/09/17 07:42:05.828, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 07:42:06.034, 0, 100, 10761, 15360, 75, 68.57, 70.00
2026/09/17 07:42:06.043, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:42:06.250, 0, 100, 10761, 15360, 75, 67.55, 70.00
2026/09/17 07:42:06.254, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 07:42:06.461, 0, 100, 10761, 15360, 75, 64.89, 70.00
2026/09/17 07:42:06.468, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 07:42:06.675, 0, 100, 10761, 15360, 76, 64.30, 70.00
2026/09/17 07:42:06.680, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 07:42:06.887, 0, 100, 10761, 15360, 76, 65.93, 70.00
