timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:58:20.944, 0, 100, 10761, 15360, 73, 67.79, 70.00
2026/09/17 06:58:20.950, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:58:21.161, 0, 46, 10761, 15360, 73, 74.46, 70.00
2026/09/17 06:58:21.166, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:58:21.373, 0, 98, 10761, 15360, 73, 65.20, 70.00
2026/09/17 06:58:21.383, 1, 0, 3, 15360, 44, 10.55, 70.00
2026/09/17 06:58:21.590, 0, 100, 10761, 15360, 73, 67.16, 70.00
2026/09/17 06:58:21.596, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:58:21.803, 0, 100, 10761, 15360, 74, 66.02, 70.00
2026/09/17 06:58:21.809, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:58:22.016, 0, 100, 10761, 15360, 74, 67.70, 70.00
2026/09/17 06:58:22.020, 1, 0, 3, 15360, 44, 9.85, 70.00
2026/09/17 06:58:22.227, 0, 100, 10761, 15360, 74, 65.89, 70.00
2026/09/17 06:58:22.233, 1, 0, 3, 15360, 44, 9.65, 70.00
2026/09/17 06:58:22.439, 0, 100, 10761, 15360, 74, 65.53, 70.00
2026/09/17 06:58:22.445, 1, 0, 3, 15360, 44, 10.65, 70.00
2026/09/17 06:58:22.652, 0, 100, 10761, 15360, 74, 67.16, 70.00
2026/09/17 06:58:22.659, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:58:22.866, 0, 100, 10761, 15360, 74, 67.90, 70.00
2026/09/17 06:58:22.877, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:58:23.085, 0, 100, 10761, 15360, 74, 66.57, 70.00
2026/09/17 06:58:23.089, 1, 0, 3, 15360, 44, 10.45, 70.00
2026/09/17 06:58:23.296, 0, 100, 10761, 15360, 74, 65.93, 70.00
2026/09/17 06:58:23.318, 1, 0, 3, 15360, 44, 10.55, 70.00
2026/09/17 06:58:23.525, 0, 100, 10761, 15360, 74, 67.49, 70.00
2026/09/17 06:58:23.530, 1, 0, 3, 15360, 44, 10.75, 70.00
2026/09/17 06:58:23.737, 0, 100, 10761, 15360, 74, 67.20, 70.00
2026/09/17 06:58:23.747, 1, 0, 3, 15360, 44, 10.65, 70.00
2026/09/17 06:58:23.954, 0, 100, 10761, 15360, 74, 68.14, 70.00
2026/09/17 06:58:23.960, 1, 0, 3, 15360, 44, 10.25, 70.00
2026/09/17 06:58:24.167, 0, 100, 10761, 15360, 75, 66.57, 70.00
2026/09/17 06:58:24.172, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:58:24.379, 0, 100, 10761, 15360, 75, 66.02, 70.00
2026/09/17 06:58:24.384, 1, 0, 3, 15360, 44, 10.25, 70.00
2026/09/17 06:58:24.592, 0, 100, 10761, 15360, 75, 66.63, 70.00
2026/09/17 06:58:24.597, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:58:24.803, 0, 100, 10761, 15360, 75, 67.59, 70.00
2026/09/17 06:58:24.808, 1, 0, 3, 15360, 44, 9.65, 70.00
2026/09/17 06:58:25.015, 0, 100, 10761, 15360, 75, 67.21, 70.00
2026/09/17 06:58:25.021, 1, 0, 3, 15360, 44, 9.66, 70.00
