timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 07:24:55.543, 0, 74, 10761, 15360, 75, 45.56, 70.00
2026/09/17 07:24:55.548, 1, 0, 3, 15360, 43, 10.45, 70.00
2026/09/17 07:24:55.760, 0, 0, 10761, 15360, 75, 65.20, 70.00
2026/09/17 07:24:55.769, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:24:55.977, 0, 93, 10761, 15360, 75, 65.53, 70.00
2026/09/17 07:24:55.985, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:24:56.192, 0, 100, 10761, 15360, 75, 66.12, 70.00
2026/09/17 07:24:56.197, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 07:24:56.404, 0, 100, 10761, 15360, 75, 65.53, 70.00
2026/09/17 07:24:56.411, 1, 0, 3, 15360, 43, 10.35, 70.00
2026/09/17 07:24:56.618, 0, 100, 10761, 15360, 75, 66.22, 70.00
2026/09/17 07:24:56.623, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:24:56.830, 0, 100, 10761, 15360, 75, 67.20, 70.00
2026/09/17 07:24:56.836, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:24:57.043, 0, 100, 10761, 15360, 75, 66.42, 70.00
2026/09/17 07:24:57.049, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:24:57.256, 0, 100, 10761, 15360, 75, 66.02, 70.00
2026/09/17 07:24:57.261, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 07:24:57.468, 0, 100, 10761, 15360, 75, 65.04, 70.00
2026/09/17 07:24:57.473, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 07:24:57.680, 0, 100, 10761, 15360, 75, 65.93, 70.00
2026/09/17 07:24:57.685, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:24:57.892, 0, 100, 10761, 15360, 75, 65.34, 70.00
2026/09/17 07:24:57.905, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:24:58.112, 0, 100, 10761, 15360, 75, 66.47, 70.00
2026/09/17 07:24:58.118, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:24:58.325, 0, 100, 10761, 15360, 75, 66.77, 70.00
2026/09/17 07:24:58.331, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:24:58.538, 0, 100, 10761, 15360, 75, 66.22, 70.00
2026/09/17 07:24:58.542, 1, 0, 3, 15360, 43, 10.15, 70.00
2026/09/17 07:24:58.750, 0, 100, 10761, 15360, 75, 66.18, 70.00
2026/09/17 07:24:58.755, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 07:24:58.962, 0, 100, 10761, 15360, 75, 66.57, 70.00
2026/09/17 07:24:58.970, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 07:24:59.177, 0, 100, 10761, 15360, 75, 66.61, 70.00
2026/09/17 07:24:59.182, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:24:59.389, 0, 100, 10761, 15360, 75, 65.53, 70.00
2026/09/17 07:24:59.393, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:24:59.601, 0, 100, 10761, 15360, 75, 66.71, 70.00
2026/09/17 07:24:59.605, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:24:59.813, 0, 100, 10761, 15360, 75, 66.28, 70.00
2026/09/17 07:24:59.818, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:25:00.025, 0, 100, 10761, 15360, 75, 67.00, 70.00
2026/09/17 07:25:00.031, 1, 0, 3, 15360, 43, 10.35, 70.00
2026/09/17 07:25:00.238, 0, 99, 10761, 15360, 75, 59.26, 70.00
2026/09/17 07:25:00.244, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:25:00.451, 0, 96, 10761, 15360, 75, 67.10, 70.00
2026/09/17 07:25:00.457, 1, 0, 3, 15360, 43, 10.06, 70.00
2026/09/17 07:25:00.664, 0, 100, 10761, 15360, 75, 67.59, 70.00
2026/09/17 07:25:00.669, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:25:00.876, 0, 100, 10761, 15360, 75, 65.73, 70.00
2026/09/17 07:25:00.884, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:25:01.091, 0, 100, 10761, 15360, 75, 66.86, 70.00
2026/09/17 07:25:01.096, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 07:25:01.303, 0, 100, 10761, 15360, 74, 66.28, 70.00
2026/09/17 07:25:01.310, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 07:25:01.517, 0, 100, 10761, 15360, 74, 66.61, 70.00
2026/09/17 07:25:01.522, 1, 0, 3, 15360, 43, 10.35, 70.00
2026/09/17 07:25:01.729, 0, 100, 10761, 15360, 74, 66.32, 70.00
2026/09/17 07:25:01.735, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 07:25:01.942, 0, 100, 10761, 15360, 74, 66.12, 70.00
2026/09/17 07:25:01.947, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:25:02.154, 0, 100, 10761, 15360, 74, 67.49, 70.00
2026/09/17 07:25:02.158, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 07:25:02.365, 0, 100, 10761, 15360, 74, 67.00, 70.00
2026/09/17 07:25:02.370, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 07:25:02.577, 0, 100, 10761, 15360, 74, 66.91, 70.00
2026/09/17 07:25:02.583, 1, 0, 3, 15360, 43, 10.35, 70.00
2026/09/17 07:25:02.791, 0, 100, 10761, 15360, 74, 67.75, 70.00
