timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:03:43.124, 0, 89, 14043, 15360, 80, 38.34, 70.00
2026/09/17 06:03:43.138, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:03:43.351, 0, 76, 14043, 15360, 80, 65.44, 70.00
2026/09/17 06:03:43.371, 1, 0, 3, 15360, 44, 10.45, 70.00
2026/09/17 06:03:43.578, 0, 100, 14043, 15360, 80, 64.85, 70.00
2026/09/17 06:03:43.587, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:03:43.795, 0, 100, 14043, 15360, 80, 65.40, 70.00
2026/09/17 06:03:43.804, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:03:44.012, 0, 100, 14043, 15360, 80, 65.93, 70.00
2026/09/17 06:03:44.019, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:03:44.226, 0, 100, 14043, 15360, 80, 53.71, 70.00
2026/09/17 06:03:44.233, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:03:44.441, 0, 93, 14043, 15360, 81, 65.57, 70.00
2026/09/17 06:03:44.452, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:03:44.659, 0, 100, 14043, 15360, 81, 65.30, 70.00
2026/09/17 06:03:44.666, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:03:44.873, 0, 100, 14043, 15360, 81, 65.93, 70.00
2026/09/17 06:03:44.880, 1, 0, 3, 15360, 44, 10.25, 70.00
2026/09/17 06:03:45.087, 0, 100, 14043, 15360, 81, 65.79, 70.00
2026/09/17 06:03:45.094, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:03:45.302, 0, 98, 14043, 15360, 81, 67.75, 70.00
2026/09/17 06:03:45.308, 1, 0, 3, 15360, 44, 10.06, 70.00
2026/09/17 06:03:45.516, 0, 94, 14043, 15360, 81, 64.61, 70.00
2026/09/17 06:03:45.526, 1, 0, 3, 15360, 44, 9.85, 70.00
2026/09/17 06:03:45.734, 0, 100, 14043, 15360, 81, 65.83, 70.00
2026/09/17 06:03:45.740, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:03:45.948, 0, 100, 14043, 15360, 81, 63.93, 70.00
2026/09/17 06:03:45.956, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:03:46.164, 0, 100, 14043, 15360, 81, 55.58, 70.00
2026/09/17 06:03:46.176, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:03:46.383, 0, 90, 14043, 15360, 81, 65.24, 70.00
2026/09/17 06:03:46.395, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:03:46.603, 0, 100, 14043, 15360, 81, 65.49, 70.00
2026/09/17 06:03:46.609, 1, 0, 3, 15360, 44, 9.86, 70.00
